Publisher,Headquarters,Est.,Notable games published,Notes,Active
octopus-studio,"New York, USA",2010,BomberGuys,,1
G-DEVS.com,"Paris, France",1994,"Timerunner, Perseus: Titan Slayer - Free Trial, Entity Researchers, Handyman Corporation, Handyman Corporation: Prologue",Head agreement charge central industry.,1
HawkX Games,"Kyoto, Japan",1995,"pWordle, Porndle, Undress Tournament",,0
Donghai Art Game Studio,"London, UK",2009,"BIKI BIKI FLIP, Ocean Cat",Where one total machine.,1
GN Studios,"Stockholm, Sweden",2015,Age of Darkness: Die Suche nach Relict,Word newspaper during interest summer push once activity.,0
Domynyo SRL,"Stockholm, Sweden",2001,To The Sky,About coach animal TV you cause.,1
"Jackbox Games, Inc.","Amsterdam, Netherlands",1987,"YOU DON'T KNOW JACK MOVIES, The Jackbox Party Pack 6, YOU DON'T KNOW JACK Vol. 2, The Jackbox Party Pack 7, YOU DON'T KNOW JACK SPORTS",,1
Devment Studio,"Berlin, Germany",2018,Shape Puzzle,Turn catch office these.,1
Professional Imagination,Singapore,2008,One Drunken Knight,,1
Cyril,"Amsterdam, Netherlands",2018,Quick Trivia,,1
Thomas Happ Games LLC,"New York, USA",2007,"AXIOM VERGE, Axiom Verge 2, Axiom Verge",,1
Panic,"Melbourne, Australia",2013,"Nour: Play with Your Food, Untitled Goose Game",,0
quasardeep,"Berlin, Germany",2014,"VICCP, Cannon Jump",,1
Slug Disco,"San Francisco, USA",2015,Empires of the Undergrowth,,1
PigeonDev,"Stockholm, Sweden",1984,"Explosive Jake, Dungeons & Bombs, Bucket Knight, Awesome Pea, Awesome Pea 2",,1
Binarystudio 54,"San Francisco, USA",2002,"Adventure Of Thieves, Si Kancil : The Adventurous Mouse Deer",,1
Ancient Empire Games LLC.,"London, UK",2002,Not Your Mama's Autobattler,,1
Cyber Keks,Singapore,2017,"Hentai Swimming Club, Succubus Domination, STRIPING FRUITS, Milf Puzzle, Hentai Milf Quiz",,1
Petal Sakura,"London, UK",1981,Hentai Maze,,1
Ko-Op,"Montreal, Canada",2001,GNOG,,1
Flixy Inc,"Gurugram, India",1997,Flixy Cats,,1
Autotelic Games LLC,"Paris, France",1997,"Castle Clicker : Building Tycoon, Monster Clicker : Idle Halloween Strategy, Christmas Clicker: Idle Gift Builder, Mafia Clicker: City Builder, Easter Clicker: Idle Manager",,1
CasGames,"Stockholm, Sweden",2002,"Color X Memory, The Cells, Casual Penalty, Hungry Shadows, Floor Massacre",,1
Siarhei Kauzunovich,"Berlin, Germany",2013,Pan-Arcade Airlines,,1
BleatBleat,Singapore,2000,Impulsive Force,,1
Turning Wheel LLC,"Berlin, Germany",1999,Barony,Major indeed alone green.,0
Offworld Industries,"Tokyo, Japan",2007,"Post Scriptum Modding SDK, Covert Syndrome, Squad, Starship Troopers: Extermination, Post Scriptum",,1
Critique Gaming,"Paris, France",1998,Brain Please Don't,,1
Warner Bros. Games,"Shanghai, China",2016,"Back 4 Blood: Standard Edition, Mortal Kombat 1, MultiVersus, Gotham Knights, Hogwarts Legacy",,1
BRAVEGIANT LTD,"Los Angeles, USA",2012,"Bricks Crusher Breaker Ball, Marble Puzzle Blast - Rescue Adventure, Hidden Investigation 2: Homicide, Cat Lovescapes, Hidden Investigation: Who did it?",,1
Qumaron,"Montreal, Canada",2004,"Farm Mania: Hot Vacation, Island Tribe, Viking Saga: New World, Demigods, Island Tribe 5",,1
Artem W,"Paris, France",1995,ITERRIA ZONE,Movie themselves expect wrong represent bad.,1
剑域情缘,"Gurugram, India",2017,剑域情缘,,0
Nightdive Studios,Singapore,1984,"Spirits of Xanadu, Tex Murphy: Under a Killing Moon, The 7th Guest, Bad Mojo Redux, Tex Murphy: Overseer",,1
BANDAI NAMCO Entertainment,"Gurugram, India",2012,"NAMCO MUSEUM ARCHIVES Vol 1, ARCADE GAME SERIES: Ms. PAC-MAN, NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD, DRAGON BALL Z: KAKAROT, NARUTO SHIPPUDEN: Ultimate Ninja STORM 2",,1
Archie Jaskowicz,"London, UK",2006,Spectral Showdown,,1
indie_games_studio,"Paris, France",2017,"House of Evil, EBONY, The Moon Relax, 6120, STALINGRAD ABATIS",,1
Studio Pieplus,"London, UK",2005,"Beyond Eden, Beyond Eden: Dear Edward",,1
Greenlynx,"Warsaw, Poland",1983,"Spacebug, Antox vs. Free Radicals, Seven Dunes: Curse on the Golden Sand, Plunger Knight - Washers of Truth",,1
ByteRockers' Games,"Boston, USA",1983,"Catch Me!, BeeFense, Gelly Break Deluxe, VRog, BeeFense BeeMastered",,0
Square Enix,"Berlin, Germany",1983,"FINAL FANTASY® XIII-2, Voice of Cards: The Isle Dragon Roars, Legacy of Kain: Defiance, FINAL FANTASY VIII, Dungeon Siege III",,1
David Wehle,"Los Angeles, USA",1985,"Home is Where One Starts..., The First Tree",,0
Double Fine Productions,"Melbourne, Australia",2006,"Stacking, Psychonauts, The Cave, Spacebase DF-9, Psychonauts in the Rhombus of Ruin",,1
Suncrash,"Boston, USA",2002,"Dream Engines: Nomad Cities, Judgment: Apocalypse Survival Simulation",,1
Gameinaframe,"Los Angeles, USA",1993,Eddie Hill in the Curse of the Skull Medallion,,0
Jason Hein,"Seattle, USA",1982,Spectrum Break,,1
Dragonest Games,"Gurugram, India",2015,Auto Chess,Ground pass fire mean doctor bill common.,1
Patrick Traynor,"Los Angeles, USA",2015,"Linelith, Patrick's Parabox",,1
NEOWIZ,"London, UK",2017,"Plebby Quest: The Crusades, Bless Online, TapSonic World Champion VR, DJMAX RESPECT V, Blade Assault",Important national stand end left live memory.,1
Iceberg Interactive,"Stockholm, Sweden",2010,"Dark Fall: Lost Souls, Tiny Troopers, Inmates, Into the Stars, Barrow Hill: Curse of the Ancient Circle",,1
Fellow Traveller,Singapore,1994,"Glitchhikers: The Spaces Between, Beacon Pines, No Longer Home, Genesis Noir, Neo Cab",,1
Borealys Games,"San Francisco, USA",2006,Mages of Mystralia,,1
Apar Games,"Toronto, Canada",2001,Scribbled Arena,,1
Jeliko,"Montreal, Canada",1996,Scarlet and Blank,Note because security teacher her.,1
Young Horses,"Gurugram, India",2001,"Antbassador, Snakedate, Bugsnax, IndependANT, Octodad: Dadliest Catch",Strategy issue top try.,1
Rebellion,"Warsaw, Poland",2007,"Speedball 2 HD, Battlezone: Combat Commander, Arca's Path VR, Judge Dredd: Dredd vs. Death, Battlezone 98 Redux",,1
Arenokubis Games,"Seoul, South Korea",1997,Cluster Fly,,1
Antti Juotasniemi,"Boston, USA",2020,San Diablos,,1
Steppe Hare Studio,Singapore,1991,"Prognostic, Geeksos, Mists of Aiden, Palmyra Orphanage, Crimson Snow",,1
InvertMouse,"Gurugram, India",2002,"Clea, The Last Birdling, Without Within, Cursed Sight, Without Within 2",,1
Eliteteams LLC.,"Kyoto, Japan",2001,Project Plainsight,What again sound talk garden mission.,1
Fullbright,"Montreal, Canada",1987,"Tacoma, Gone Home",,1
Statespace,"London, UK",1994,"Aim Lab, Aim Lab VR",,1
Perfect World Entertainment,"Amsterdam, Netherlands",2011,"Torchlight III, Champions Online, Hob, Remnant: From the Ashes, Star Trek Online",,1
Stoic,"Kyoto, Japan",2017,"Killers and Thieves, The Banner Saga Epic Trilogy",,1
AOne Games,"Kyoto, Japan",2002,Omen Of Sorrow,Physical green least thing data PM enjoy.,1
Gambrinous,"New York, USA",2015,Guild of Dungeoneering Ultimate Edition,Think specific perform which up meeting.,1
PLA Studios,"Paris, France",2013,The Troop,,1
Gold Turtle Games,Singapore,2018,Aster Force,Education father close short impact pass.,0
Hazardous Software Inc.,"London, UK",1991,Achron,,1
KONEKO,"Boston, USA",2010,Tokyo Re:Connect Prologue,,1
Curve Games,"Seoul, South Korea",2012,"Drake Hollow, Bomber Crew, The Ascent, Human: Fall Flat, Stikbold! A Dodgeball Adventure",Prove science cold decade there must perhaps almost.,1
Studio Christmas,"New York, USA",2016,Magic Borderless,,0
Wired Productions,"New York, USA",1996,"Vostok Inc., Close to the Sun, Deliver Us The Moon, Arcade Paradise, The Falconeer: Standard Edition",,1
AQUIRIS,Singapore,2017,Horizon Chase Turbo,,1
indienova,"Berlin, Germany",2002,"拯救大魔王2 Rescue the Great Demon 2, SELF, Arrog, Yesterday, Heaven Dust 2",,1
Simulators Live,"Montreal, Canada",1994,"Road Patrol Truck, Demolition Engineer, Subway Simulator, Frozen Soul, Space Launch Engineer",Heavy add commercial drive budget describe better tend.,1
NightLightGameStudio,"Gurugram, India",1995,与我签订契约，成为救世勇者吧！,Despite nice painting look.,1
SuperTeam Games,"Toronto, Canada",1992,STG Football,,0
Eastasiasoft Limited,"Seoul, South Korea",1983,"Reverie: Sweet As Edition, Spacewing War, SENSEs: Midnight, Teratopia, Lost Sea",Skill painting season.,1
UnDefined Studio,"Montreal, Canada",1998,Flag Collection,,1
Rémi Adriano,Singapore,1983,"Astria, Sharing Lights",,1
Urnique Studio,"New York, USA",1990,Timelie - Game of the Year Edition,,1
Artware Studio,Singapore,1999,ArtPose Pro,,0
D'Avekki Studios Ltd,"San Francisco, USA",2000,"The Infectious Madness of Doctor Dekker, Murderous Muses, Dark Nights with Poe and Munro",,1
Chai Games,"Seattle, USA",1992,Purrate Adventure: Volcano Isle,,1
Enhance,"Warsaw, Poland",2006,"Humanity, Tetris® Effect: Connected, Rez Infinite, LUMINES REMASTERED",,1
Batterystaple Games,"Toronto, Canada",1988,"20XX, 30XX, Jamestown+",,1
Labrodex Inc.,"Boston, USA",2016,Flingleberries!,,1
CaRacing Studio,"Montreal, Canada",2005,"RX Racing 2021 Pro, Race On Ice 2022 Pro, Colour Card Game, RX Racing 2022 Pro, RX Racing 2020 Pro",,1
Nacon,"Berlin, Germany",2005,"Cricket 22, Cricket 22 - Academy Creation Tools, Session: Skate Sim, RiMS Racing, V-Rally 4",Investment above you fish.,1
SEGA Corporation,"Seoul, South Korea",1988,Phantasy Star Online 2 New Genesis,Why first certain wife impact business watch important.,1
Mr. Hand,"Tokyo, Japan",1992,Something Strange,Door manager door.,1
Matthew Nuss,"Kyoto, Japan",1998,Aerial Guardian,,1
AstroMonkey,"Melbourne, Australia",2009,"Project E.V.A. Remake, Spacefighter Rukia, Omega Squad, Omega Survivors",,0
Team17 Digital Limited,"Seattle, USA",2002,The Escapists,By management quickly conference quality show old.,1
JooGray videogames,"San Francisco, USA",2019,"Tower, Race Maniacs, Wildland",,0
Singta Inc.,"Warsaw, Poland",2019,Giants,,1
LucasArts,"Stockholm, Sweden",2009,"Thrillville®: Off the Rails™, The Dig®",,1
"Nicalis, Inc.","London, UK",1992,"RemiLore: Lost Girl in the Lands of Lore, NightSky, Cramped Room of Death, Cave Story+, Code of Princess EX",,1
Pillow Castle,Singapore,1996,Superliminal,,1
Epic Games,"Montreal, Canada",2003,"Unreal Tournament, Shadow Complex Remastered, Fortnite, Hatoful Boyfriend: Holiday Star, Hatoful Boyfriend",,1
Supergiant Games,"Melbourne, Australia",2010,"Transistor, Hades, Pyre, Bastion",Effort training skin apply arm recognize.,1
Bolt Virtual,"Tokyo, Japan",2014,"Harvest Simulator VR, Pirates on Deck VR",,1
Richard Sherriff,"Berlin, Germany",2000,The Farnese Hercules,Speak movie mission eat.,1
Displacement Studios,"Seoul, South Korea",2016,"Lone Leader, The Return Home Remastered, Displacement Arcade Game Box, Aztecalypse, Neon Coliseum",,1
Dry Cactus,"Seattle, USA",2016,"Poly Bridge 2, Poly Bridge, Poly Bridge 3",Resource drug million them.,1
"Prime Matter,1C Entertainment","Melbourne, Australia",2000,King's Bounty II,,1
Chainsawesome Games,"Shanghai, China",1987,"Aftercharge, Knight Squad, Knight Squad 2 Trials, BeatBlasters III, Knight Squad 2",Whatever nothing stay choose bring American social.,1
Make Real,"London, UK",1982,Loco Dojo,,1
Chucklefish,"Boston, USA",1983,"Wildfrost, Timespinner, Wargroove 2, Wanderlust Adventures, Wargroove",,1
Bloober Team,"Amsterdam, Netherlands",1990,"Observer: System Redux, >observer_",,1
Aaron Kunkle,"Boston, USA",2017,MovingPictures: VR Video and Image Viewer,,1
Two and a Half Studios,"Kyoto, Japan",1987,"start;again, The Divine Speaker, The Divine Speaker: The Sun and the Moon, Amelie",,1
VirtexUniverse,"Boston, USA",2017,"Hentai Girl Sets, Color Party, CubeHub, Picture Builder, Wild Cats of Wasteland",,1
Eli Daddio,"Stockholm, Sweden",2016,"Rogue Quest: The Vault of the Lost Tyrant, A Tale of Caos: Overture",,0
-菂-,"Warsaw, Poland",2018,Vitamins,,1
Soju and Ink,"Paris, France",2008,"Lil Baby Poop's NIGHTMARES, Spiders Everywhere",,1
Arkio ehf.,"San Francisco, USA",1987,Arkio,,1
Locomotivah,"Los Angeles, USA",2014,"Unheard Screams - King Leopold II's Rule Over The Congo, Pregnancy, Cahors Sunset",,1
Pleasant Rain Ltd,"New York, USA",1994,Goblin Times,Community key million thousand cold purpose.,1
Quantic Dream,"Paris, France",1990,"Beyond Two Souls, Detroit: Become Human, Beyond: Two Souls, Under The Waves, Heavy Rain",,1
3000AD,"Seoul, South Korea",2000,"Line Of Defense Tactics - Tactical Advantage, Angle of Attack, Universal Combat CE, Battlecruiser Generations, Galactic Command Echo Squad SE",Weight pick news himself back fine production.,1
Focus Home Interactive,"Seattle, USA",2007,"MudRunner, Confrontation, Pro Cycling Manager 2015, Contrast, Farming Simulator 19",,1
Merlino Games,"Los Angeles, USA",2000,"Luckily, My Arm Is A Shotgun, No Sun To Worship, The Chameleon, It Comes In Waves",Last race foot memory national I.,1
PaulArt,Singapore,1988,"The Line, Angry Waifu, Idle Galaxy, Hitler Hates Anime, Dune Girls Attack!",,1
Krenliper,"San Francisco, USA",1992,Abandoned,Painting increase society common.,1
The Moon Pirates,"Tokyo, Japan",1987,"Crypto Is Dead, Don't Shit On My #!$@& Roof",,1
BJGameInd,"Tokyo, Japan",1990,"NeoGeometry, NeoBalls2, NeoBoom2, Aquarium Simulator, NeoBoom",Book hospital mention energy safe management.,1
Redruby Studio,"Los Angeles, USA",2015,Little Garden,,1
Playtonic Games,"Los Angeles, USA",1984,Demon Turf,,1
Polantronic,"London, UK",2018,"Pixel Monsters Survival, Block Granny Horror Survival, Drift Masters, City Gangs War in Miami, War Battle Royale Battlegrounds",Behind probably those model once sea wide.,1
Ferulox Studios,"Toronto, Canada",1985,"MIBT, Star Tank, Ice Nosfe, Space Climber, KONGEER",Policy what continue positive I may chance.,1
Alawar Entertainment,"Gurugram, India",1982,"Summer Resort Mogul, Hotel Mogul: Las Vegas, New Yankee 6: In Pharaoh's Court, Viking Heroes 2, Duskless: The Clockwork Army",Strategy against blue break pull song provide home.,1
69 Games,"San Francisco, USA",2015,My Mistress,,1
NiVision,"Paris, France",1996,"Show Must Go On, X-Fitness, Ride To Canada, DUO",Very change beat Mr both.,1
3dm_live_wallpapers,"Warsaw, Poland",1993,"Planet Evolution PC Live Wallpaper, Fluid Engine PC Live Wallpaper, Music Visualizer Engine PC Live Wallpaper, Energy Engine PC Live Wallpaper, Desktop Farm",Issue us energy last operation Congress.,1
PiPuProductions,"Kyoto, Japan",1988,VBridger,Focus indicate mother rather media clear.,1
DreadXP,"Toronto, Canada",2016,"The Mortuary Assistant, Dread X Collection, Sucker for Love: Prelude, Mirror Forge, I doesn't exist - a modern text adventure",,1
"NIS America, Inc.","Amsterdam, Netherlands",2010,"A Rose in the Twilight, The Alliance Alive HD Remastered, Fallen Legion Revenants, Saviors of Sapphire Wings / Stranger of Sword City Revisited, Langrisser I & II",,1
Henchman & Goon,"Tokyo, Japan",2015,"Flem, Pode",Deal either other finally floor rise market despite.,1
Taotie Industries,"Boston, USA",2006,"You are Never Alone, The search for DEEP loving, Hidden Life",,1
SnowBaby Games,"New York, USA",2016,"My Island, Fireworks Simulator: Realistic, Eden Island",,1
Home Point Games,"New York, USA",1990,Mythlink,,1
101XP,"Boston, USA",2011,"My Summer Adventure: Memories of Another Life — Day 1, For the People, Blind Fate: Edo no Yami — Dojo, FatalZone: Outbreak, FatalZone",,1
Green Cube Games,"Paris, France",1982,"Ghost Puncher, Monsters Mall, Just Shoot: Slimes",,1
SSBy Studios,"Tokyo, Japan",2009,The Midnight Eater,,1
Straitlace Studios,"New York, USA",1996,"The SOL Device 2, The SOL Device",Address phone program manage cell.,1
GoffaGames,"Kyoto, Japan",2002,Castle Heist: Chapter 1,,1
8Floor,"Berlin, Germany",2005,"Picross Bonbon - Nonogram, Iron Sea Defenders, Portal of Evil: Stolen Runes Collector's Edition, Travel Cuisine Collector's Edition, Fort Defense",,1
AJ_Avocado,"Melbourne, Australia",1984,Bean,For rich sing financial.,0
White Puppet Studio,"Berlin, Germany",2019,"You Don't Have Time, The ScreaMaze",Traditional threat car hard talk.,0
RCG,"Gurugram, India",1994,POBEDA,,1
Foncheti,"Tokyo, Japan",1988,Squidding Over It,,1
ImpressVR Studios,"London, UK",1993,VaporFly,,1
OikariBuncho,"San Francisco, USA",2017,"Item synthesis and dungeon exploration, The Farmer's Story of Slow Life",,1
Gral Games,"Seoul, South Korea",2001,Automon,,1
Gotcha Gotcha Games,"Kyoto, Japan",1999,"Pixel Game Maker Series Puzzle Pedestrians, Palphone-sama : Curse call, Cthulhu Mythos ADV 闇に囁く狂気, Soaring Machinariae, Pixel Game Maker Series DRAGON PEAK",Yet everyone performance such.,1
Proteinbeer,"Stockholm, Sweden",1992,"She is mad : Pay your demon, Reactivated, Tank Nova",,1
Steel City Interactive,"Melbourne, Australia",2019,Undisputed,,1
周农卿,"Gurugram, India",1987,"EXS2～EthnologySister2：Structuralism of kinship system, EXS1～EthnologySister：Cultural functionalism",,1
Missing Sentinel Software,"Stockholm, Sweden",2014,RogueCraft Squadron,,1
Modus Games,"Kyoto, Japan",2016,"Remothered: Broken Porcelain, Hammerwatch Anniversary Edition, God of Rock, Lost Words: Beyond the Page, In Sound Mind",Seek price key soon pressure red feeling.,1
Galactic Cafe,Singapore,2010,The Stanley Parable,Least ok doctor discuss father.,1
Draknek,"Paris, France",1987,"A Monster's Expedition, Cosmic Express, A Good Snowman Is Hard To Build, Sokobond, Bonfire Peaks",Capital they office expert here.,1
Rocky Studio,"Berlin, Germany",1992,"VR Rock Climbing, VR Dinosaur Hunter, Dinosaur Land Aerial Photograph, VR Pterosaur, VR Dinosaur Invasion",,1
Global Empire Soft,"Berlin, Germany",1988,Man Alive,,0
Aldin Dynamics,"Seoul, South Korea",2011,"Waltz of the Wizard (Legacy demo), Waltz of the Wizard: Natural Magic",,1
Xbox Game Studios,"Stockholm, Sweden",2000,"Ori and the Blind Forest, Ms. Splosion Man, Age of Empires III: Definitive Edition, Age of Empires IV, Tell Me Why",,0
Alex VR,"Gurugram, India",1997,"Button VR Expeditions, Button VR, Portable VR, Electric Enigma VR",Probably family network.,1
PITAYA NETWORK LIMITED,"London, UK",2016,"Bomb U!, 1-2-Swift",Weight care dark feeling treat whatever.,1
2D Boy,"Toronto, Canada",1988,World of Goo,,1
Sweet Games,"Stockholm, Sweden",1982,"Home Creator, CRAFTSMAN, One Night With Stalin, Waifu vs Evil, Minicraft Shooter",,1
SEGA,"Kyoto, Japan",1994,"Shenmue I & II, Wonder Boy III: Monster Lair, Football Manager 2019, VectorMan™, Beijing 2008™ - The Official Video Game of the Olympic Games",,1
Spotify AB,"San Francisco, USA",1989,Spotify Music and Podcasts,,1
Savannah College of Art and Design,"Berlin, Germany",2001,Zoelie - SCAD Games Studio,Everybody leave fight hotel firm ahead toward.,1
Pixelante Game Studios,"Seoul, South Korea",2004,Fowl Space,,1
NetEase Montreal,Singapore,1987,NARAKA: BLADEPOINT,Call run listen look.,1
DiamosDev,"Warsaw, Poland",2008,"Freelancer Life Simulator, Gamer Shop Simulator, Freelancer Life Simulator: Prologue, Idle Trading Simulator, Bicycle Rider Simulator",,1
StormCube Games,"San Francisco, USA",2010,"reconquest, Vortex: The Gateway, Starway Fleet",,1
ebi-hime,"Shanghai, China",2007,"Rituals in the Dark, All the Words She Wrote, It gets so lonely here, With Eyes of Ice, In Fair Spirits",,1
APAS games,"Melbourne, Australia",1988,SLIDE: platformer,,1
SHN Games,"New York, USA",2018,Countryball: Europe 1890,,1
SuloSounds Oy,"Gurugram, India",1990,SAIVO,Eight anyone issue.,1
Ilter Aksoy,"Kyoto, Japan",1991,Planet Collectors: Episode Earth,,1
Funselektor Labs Inc.,"Stockholm, Sweden",1989,"Art of Rally, Absolute Drift, art of rally",Party speak significant exactly ten bill author.,1
Jellyfish Parade,"Melbourne, Australia",2006,"Heroine for Hire, Belle Automata: Chronicle I, Pairs",,1
Sergey Krasnikov,"Montreal, Canada",1984,Ecocoru : Euclidean Constructions -- Compass & Ruler,,0
Michaela Laws,"Kyoto, Japan",1987,"Seduce Me the Otome, Remember, Remember, Seduce Me: The Complete Story, A Bloody Party, My Lady",,1
Art-Pulsar,"New York, USA",2015,Puzzle Ball,,1
Laush Studio,"Montreal, Canada",1987,"Woman's body, Puzzles for smart: Birds, SEARCH ALL - KEYS, Easy puzzle: Animals 2, IN THE BUILDING: CATS",,1
Utopia Dream Entertainment Alliance (Pty) Ltd - South Africa,"Seoul, South Korea",1996,Destiny of Ancient Kingdoms™,Meeting where win yard minute join arrive activity.,1
HeroCraft PC,"Amsterdam, Netherlands",2003,"Catizens, King of Dragon Pass, Organs Please, Warhammer 40,000: Space Wolf, Gravewood High",Save down instead here figure.,1
SakuraGame,"Kyoto, Japan",1985,"XP Girls, Ultra Savage, HITOTSU NO MORI, Yet another tower defence, Fox Hime Zero",,1
Clever Plays Studio,"Warsaw, Poland",2008,Operation: Tango,,1
Red Level Games,"Amsterdam, Netherlands",2007,Dragon: The Game,Stay strategy control including none set interest.,1
8floor,"Montreal, Canada",2009,"Strike Solitaire 2, Detective Solitaire: Inspector Magic And The Forbidden Magic, Christmas Griddlers Journey to Santa, Mystery Solitaire Grimm's Tales, Christmas Mahjong 2",Wish on likely.,1
Lightning Games,"Shanghai, China",1995,"ANNO: Mutationem, Project Morpheus: Prologue, Dirty Blood, Noobs Want to Live, The Scary Square",Image sort population pretty nor today environment admit.,1
Coldwild Games,"Toronto, Canada",2000,"Luna's Fishing Garden, Druidwalker, Merchant of the Skies, Crown of Pain, Lazy Galaxy",Son his firm less.,1
"Polytron Corporation, Inc","Tokyo, Japan",1996,Fez,,1
WIREGAMES d.o.o,"New York, USA",1999,Primordials: Battle of Gods,,1
Lone Axe Games,"Seattle, USA",2008,Stalked,,1
Red Hook Studios,"Amsterdam, Netherlands",1991,"Darkest Dungeon®, Darkest Dungeon® II",,1
All in! Games,"Paris, France",2005,"Red Wings: Aces of the Sky, Metamorphosis, Tools Up!, Paradise Lost, Backfirewall_",,1
FLARB LLC,"Berlin, Germany",1995,"DEMON'S TILT, XENOTILT: HOSTILE PINBALL ACTION",,1
THQ Nordic,"Seoul, South Korea",1997,"Summoner, Sacred Gold, Act of War: High Treason, Alone in the Dark 3, SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated",Including never which decide guess including likely.,1
Above and Beyond Technologies,"Los Angeles, USA",1987,Fragmented,,1
MILD,"Seoul, South Korea",1989,The night of erosion (prequel),Girl government and final mother.,1
Erbe Software,"Stockholm, Sweden",2019,"James Peris 2: La fuente de la eterna embriaguez, Viaje al Centro de la Tierra - Versión Extendida, Mortadelo y Filemón: Una aventura de cine - Edición especial, SleepWalker, El Tesoro de Isla Alcachofa",Thought difference conference agree treatment.,1
SOEDESCO,"Shanghai, China",2000,"Charon's Staircase, Monster Crown, Adam's Venture: Origins, Dollhouse, Airoheart",Apply give much force view to.,1
Nilo Studios,"New York, USA",1994,"Asemblance, Asemblance: Oversight",Situation experience wrong follow perform common many.,1
AoMI,"Los Angeles, USA",2018,Perry the Pumpkin,,1
Fayju,"Los Angeles, USA",2010,"Amazing Frog?, Amazing Frog? V3",,1
NSFWEntertainment,"Paris, France",1998,"Hentai Jigsaw Puzzle Collection: Spring Edition, Hentai Jigsaw Puzzle Collection: Valentine’s Edition, Hentai Jigsaw Puzzle Collection: Autumn, Hentai Jigsaw Puzzle Collection: Christmas Edition",Song office hour mind cell film dinner spring.,1
Wargaming,"Montreal, Canada",2017,World of Warships,,1
Opala Project,"Boston, USA",2001,"BasCatball Jupiter: Basketball & Cat, Fatec's Out: School Rage, BasCatball Saturn: Basketball & Cat, Panqueca & Paçoca: A Friendship Jigsaw, Matching Cats",,0
Rockin' Android,Singapore,2011,"Angel Express [Tokkyu Tenshi], Hitogata Happa, cloudphobia, Diadra Empty, GundeadliGne",Play surface financial particularly half wind down.,1
CuriousFactory,"London, UK",1995,Helen Giantess,Many produce present management begin.,1
hOSHI,"Boston, USA",1982,"VR2: Vacate 2 Rooms (Virtual Reality Escape), VR: Vacate the Room (Virtual Reality Escape), Super Dashmatch, Iffy Institute, The Quest for the BIG KEY",Around picture sing happy evening.,1
s_unk,"Seoul, South Korea",1996,Escape From Space Shredder,Instead talk keep attack letter Democrat produce base.,1
W.T.B.,"Boston, USA",2017,"Drugs to Bee, Flying Bacon:Ukrainian Air Force, Last Anime Boy 2: Hentai Zombie Hell, Love Hentai: Endgame, Cut The Ex-Girlfriends",,1
"Terrible Toybox, Inc.","Tokyo, Japan",2003,Thimbleweed Park,Only nice history no.,1
NeoNight,"Berlin, Germany",2002,"Always The Same Blue Sky..., Sorry. (Entschuldigung) ~ A Psychological Horror Visual Novel",,1
BanzaiProject,"Tokyo, Japan",2002,"Only Furry 18+, SQUID GIRLS 18+, OnlyFap Simulator 2 💦, OnlyFap Simulator  6 💦, OnlyFap: Fitness Baby 🔞💦",,0
INDIELLIGENT,"Seoul, South Korea",1989,"Pirate Patrol, YOU ARE THE DINNER",,1
Fair Games Studio,"Toronto, Canada",1991,Protocol VR,,1
SFS Studios,"San Francisco, USA",2015,"Inevitability, Rekindling, Operation Zeta, Goo Gladiators",,1
mc2games,Singapore,1997,"Regular Factory: Escape Room, Between Time: Escape Room, Palindrome Syndrome: Escape Room, Right and Down, Satama Puzzle",,1
Astrolabe Stories,"San Francisco, USA",1990,"Ballads and Romances, Last Threshold",,1
Vicente Rosell Roig,"Los Angeles, USA",2010,"Dinosaur Hunting Patrol 3D Jurassic VR, Dinosaur Hunting Patrol 3D Multiplayer Online, Supermarket VR and mini-games, Rome Circus Maximus: Chariot Race VR, Athletics Games VR",,1
Zero Imagination Productions,"Kyoto, Japan",1995,"VirtuaCreature, VirtuaCreature (Legacy Version)",Myself when modern rule tend down small.,1
1C Entertainment | 3D Realms,"Stockholm, Sweden",1996,Wrath: Aeon of Ruin,Appear walk kid design will.,1
Andreas Ammer,"Tokyo, Japan",2006,"TAOTH - The Adventures of the Herkulez, CONNECTED!, Connected! 2",,1
Vae Victis Games,"Stockholm, Sweden",2014,Victory: The Age of Racing,,1
Breaker Games,"Stockholm, Sweden",2001,Apocalypse Party,What lose tend worry school.,1
tinyBuild Games,"Kyoto, Japan",1991,"Hello Neighbor: Hide and Seek, Lovely Planet Arcade",,1
Pierced Games,"Montreal, Canada",2012,"Survive Lviv, Metronium, Annual, Commie Killer 2069",,1
Kagura Games,"Berlin, Germany",1984,"Obscurite Magie: The Blood of Kings, The Scarlet Demonslayer, Lisa and the Grimoire, Slave's Sword 2, Treasure Hunter Claire",,1
The Revills Games,"Los Angeles, USA",2002,"Chef Solitaire: USA, Jigsaw Puzzle Lovers, The Bloobles and the Quest for Chocolate, Legends of Solitaire: Curse of the Dragons, Legends of Solitaire: Diamond Relic",Positive form mission deep sometimes offer.,1
Sigyaad Team,"Amsterdam, Netherlands",1982,"Christmas Celebration With Sakuya Izayoi, I Am The Prosecutor: No Evidence? No Problem!, Outdoor Adventures With Marisa Kirisame, My Inner Darkness Is A Hot Anime Girl!, A Gay Love Story About Gay Love",,1
