Developer,Active,City,Country,Est.,"Notable games, series or franchises",Notes
JW,1,Montreal,Canada,2008-04-17 00:00:00,不死/IMMORTAL,
Auroch Digital,1,Vancouver,Canada,2007-06-18 00:00:00,"Last Days of Old Earth, Warhammer 40,000: Boltgun, Achtung! Cthulhu Tactics, Ogre, Mars Horizon",
Experience Inc.,1,Seoul,South Korea,1981-07-13 00:00:00,"Saviors of Sapphire Wings & Strangers of Sword City Revisited, Stranger of Sword City",
Bloober Team,0,Vancouver,Canada,1985-12-25 00:00:00,"Observer: System Redux, The Medium, Layers of Fear: Masterpiece Edition, Blair Witch",
E-Studio,1,Boston,United States,2007-02-11 00:00:00,"Tormentor x Punisher, Tormentor❌Punisher",
Ensemble Studios,1,Warsaw,Poland,2012-01-05 00:00:00,"Age of Empires® III (2007), STAR WARS™ Galactic Battlegrounds Saga",
LLC Blini Games,1,Seoul,South Korea,1976-09-16 00:00:00,"克苏鲁异闻录, Lovecraft's Untold Stories, P1R4T3S, Lovecraft's Untold Stories 2",Ground hand bag three force reality yard.
Aaron Kunkle,1,Melbourne,Australia,1996-07-05 00:00:00,MovingPictures: VR Video and Image Viewer,Difficult despite somebody goal.
BRAVEGIANT LTD,1,Melbourne,Australia,2008-06-17 00:00:00,"Nora's AdventurEscape, Marble Puzzle Blast - Rescue Adventure, Space Cowboys - Riders of the Storm, Cat Lovescapes, Push Puzzle - Rescue Adventure",
Snowy Productions,1,London,United Kingdom,2002-02-04 00:00:00,Virtual Rogue,
SeedWall,1,Berlin,Germany,2013-11-13 00:00:00,"Daenerys Miracle, Paranormal Motel, Hentai Demon, Hentai Vs Orcs, Melon Dusk",
Donghai Art Game Studio,0,Austin,United States,1980-08-21 00:00:00,"BIKI BIKI FLIP, Ocean Cat",
Greendev.,0,Tokyo,Japan,2011-03-03 00:00:00,Colortone,
Cold Symmetry,1,Tokyo,Japan,1997-05-16 00:00:00,Mortal Shell,
Squanch Games,1,Singapore,Singapore,1996-12-19 00:00:00,Trover Saves the Universe,
MY.GAMES,1,Warsaw,Poland,2005-07-15 00:00:00,"VR Invaders, Warface, HAWKED",
Rafael Senne,1,Vancouver,Canada,1975-11-14 00:00:00,Bulby - Diamond Course,Heart cultural put matter.
Team Salvato,1,Paris,France,2001-05-19 00:00:00,"Doki Doki Literature Club!, Doki Doki Literature Club Plus!",
ARMSCor Studios,1,Paris,France,2004-11-30 00:00:00,GO-4-Soldier-1,
Frozen Orb,1,Stockholm,Sweden,1985-05-15 00:00:00,Diadra Empty,
Iridium Studios,1,Austin,United States,2001-04-24 00:00:00,"Before the Echo, There Came an Echo",
Funomena,1,Boston,United States,1975-07-09 00:00:00,"Luna, Wattam",
Cryptic Studios,1,Berlin,Germany,2006-10-07 00:00:00,"Star Trek Online, Champions Online, Neverwinter",
Proteinbeer,0,Vancouver,Canada,2004-07-29 00:00:00,"Tank Nova, She is mad : Pay your demon, Reactivated",
Crafting Legends,1,Seattle,United States,2004-08-06 00:00:00,Death Trash,
Cracked Bone Studios,1,Berlin,Germany,1998-05-08 00:00:00,Casino Tycoon Simulator,Painting career TV his country.
Landfall Games,1,Warsaw,Poland,1993-05-15 00:00:00,Totally Accurate Battle Simulator,Many hot window social.
Pendulo Studios,1,Seoul,South Korea,2007-03-14 00:00:00,"The Next BIG Thing, Tintin Reporter - Cigars of the Pharaoh, Runaway, The Dream of The Turtle, Yesterday Origins, Runaway, A Road Adventure",Drug center lawyer market seek site born.
InvertMouse,1,Los Angeles,United States,1991-01-18 00:00:00,"Without Within, Clea, Unhack, Cursed Sight, Without Within 3 (初衷)",
Behaviour Interactive Inc.,1,Austin,United States,1981-09-22 00:00:00,"Flippin Misfits, Dead by Daylight, Knightfall: Rivals, Warhammer 40,000: Eternal Crusade, Disney•Pixar Brave: The Video Game",
Wisan Saekor,1,Austin,United States,1980-10-10 00:00:00,Three Defilements,
"Black Forest Games,Pandemic Studios",1,Boston,United States,2020-07-28 00:00:00,Destroy All Humans!,Right present before book side best pretty.
Singta inc.,1,Boston,United States,2021-02-18 00:00:00,"Sid Classic, Giants",Campaign nature beat measure nature.
Concrete Games,1,Austin,United States,1975-06-08 00:00:00,"Hyperun, Public Enemy: Revolution Simulator, Matter, Grotoro",
Eidos-Montréal,1,Toronto,Canada,2001-10-17 00:00:00,Marvel's Guardians of the Galaxy,
Batterystaple,1,Helsinki,Finland,1994-07-27 00:00:00,20XX,Simply risk give art whatever old.
Michaela Laws,1,Tokyo,Japan,2006-07-14 00:00:00,"Seduce Me: The Complete Story, A Bloody Party, Valentine Panic, My Lady, Seduce Me the Otome",
Suncrash,1,Vancouver,Canada,2015-08-17 00:00:00,"Dream Engines: Nomad Cities, Judgment: Apocalypse Survival Simulation",Better medical deal thought.
Die Gute Fabrik,1,Los Angeles,United States,1993-04-22 00:00:00,"Saltsea Chronicles, Mutazione, Sportsfriends",
Texel Raptor,1,Stockholm,Sweden,1996-08-19 00:00:00,Parkitect,
Paulo Henrique Pedrassi,0,Los Angeles,United States,1980-04-27 00:00:00,"Summon Masks, Reach Coin",
Playtonic,1,Kyoto,Japan,2003-08-14 00:00:00,Yooka-Laylee,Strong young image go far difficult risk author.
ZELENYUK,1,Los Angeles,United States,1999-02-17 00:00:00,"Chill II, Chill IV, ASSASSINATION BOX, Chill X, Chill",
XF Game,0,San Francisco,United States,1978-10-16 00:00:00,"Aeolus Fighter, Ares Fighter, Space Fighter 2, Beach Restaurant, Look Find Find",Get policy just back.
"Terrible Toybox, Inc.",1,San Francisco,United States,2017-03-30 15:00:00,Thimbleweed Park,
Playdead,1,Los Angeles,United States,1995-09-15 00:00:00,"LIMBO, Limbo, INSIDE",Very beautiful accept plant car bed lawyer.
Whatboy Games,1,Paris,France,2017-04-10 00:00:00,Trials of Fire,
Typhoon Studios,1,Kyoto,Japan,1983-06-04 00:00:00,Journey to the Savage Planet,
Not a Sailor Studios,1,San Francisco,United States,2014-02-11 00:00:00,Buddy Simulator 1984,While short war activity.
Fiddle Sticks,1,Amsterdam,Netherlands,1976-12-04 00:00:00,Hue,Treatment positive rule state.
Coffee Stain Studios,1,Los Angeles,United States,1995-01-20 00:00:00,"Goat Simulator, Sanctum, Sanctum 2, Satisfactory, Super Sanctum TD",
UY Studios,0,Paris,France,1995-04-06 00:00:00,Velocity Legends - Action Racing Game,
凌剑工作室,1,Seoul,South Korea,1993-09-18 00:00:00,破东荒 - Chaos Of East,They administration industry candidate more.
Relic Entertainment,1,London,United Kingdom,1977-05-10 00:00:00,"Company of Heroes: Tales of Valor, Warhammer® 40,000: Dawn of War® - Dark Crusade, Warhammer 40,000: Space Marine - Anniversary Edition, Company of Heroes, Company of Heroes: Opposing Fronts",
Whiterra,1,Stockholm,Sweden,2007-08-13 00:00:00,"Roads of Rome, Roads of Rome: New Generation 2, Roads Of Rome: Portals Collector's Edition, Adelantado Trilogy. Book Three, Roads of Rome 3",
BigBlaze Games,1,Warsaw,Poland,1983-02-28 00:00:00,"Club Manager 2016, Club Manager 2017, Club Manager 2015",
Lucid Games Ltd,0,Kyoto,Japan,1990-03-28 00:00:00,"Jacob Jones and the Bigfoot Mystery : Episode 1, Switchblade, Jacob Jones and the Bigfoot Mystery : Episode 2",West sing environmental whatever certain environmental.
Ludomotion,1,Warsaw,Poland,2015-02-20 00:00:00,"SUMICO - The Numbers Game, Unexplored, Unexplored 2: The Wayfarer's Legacy",
Tendershoot,1,Kyoto,Japan,2001-07-23 00:00:00,Hypnospace Outlaw,
Long Hat House,1,Warsaw,Poland,1993-10-13 00:00:00,Dandara: Trials of Fear Edition,
Dracula's Cave,1,Toronto,Canada,2009-05-14 00:00:00,"AudioTheory Guitars, Lion Quest Infinity, Sloth Tales, Lion Quest, CAPITALISM The action board game for one player",
Hidden Fields,1,Boston,United States,1988-06-27 00:00:00,Mundaun,
Fayju,1,London,United Kingdom,2005-11-29 00:00:00,"Amazing Frog? V3, Amazing Frog?",Lay class capital some visit.
RoKo0 (Roman Konyukhov),1,Paris,France,2004-08-25 00:00:00,Dream Car Builder,Cover material call may collection ask.
8monkey Labs,1,Seattle,United States,1987-03-01 00:00:00,Darkest of Days,
seafoodcha,1,London,United Kingdom,2011-08-20 00:00:00,茶 CHAR01 VR,
Bloober Team SA,1,Berlin,Germany,1996-07-10 00:00:00,"Layers of Fear (2016), >observer_, Layers of Fear 2, Blair Witch VR, BRAWL",Treatment question growth rate.
Bad Fox Studios,1,Austin,United States,2015-01-18 00:00:00,Super Squad,Wish build song statement theory story.
Sketchy Ceviche,1,Seoul,South Korea,1980-08-13 00:00:00,El Minero,
Awaken Realms Digital,1,Amsterdam,Netherlands,1988-08-28 00:00:00,Tainted Grail: Conquest,Continue one boy chance newspaper.
PS Games,1,San Francisco,United States,2010-08-26 00:00:00,"RepairBot, New Tanks, RoboBall, Steampunk Genius, Marble Run",
Roope Tamminen,1,Boston,United States,2015-04-09 00:00:00,"Lakeview Cabin 2, Lakeview Valley, Lakeview Cabin Collection",Home sure image record issue let owner.
Galactic Cafe,0,Seoul,South Korea,2002-07-11 00:00:00,The Stanley Parable,
Make Real,1,Seoul,South Korea,1984-10-30 00:00:00,Loco Dojo,
Gameinaframe,1,Amsterdam,Netherlands,2014-08-04 00:00:00,Eddie Hill in the Curse of the Skull Medallion,White friend ground sport.
FYRE Games,1,Warsaw,Poland,2002-01-10 00:00:00,"The Colossus Is Coming: The Interactive Experience, Welcome To The Dreamscape, Summerland, Into The Unknown",Instead behavior international arm but another wait.
White Puppet Studio,0,Stockholm,Sweden,2001-09-28 00:00:00,"You Don't Have Time, The ScreaMaze",
"Pixellore Inc.,REMIMORY",1,Toronto,Canada,1991-06-25 00:00:00,RemiLore: Lost Girl in the Lands of Lore,
CREATIVE ASSEMBLY,1,Boston,United States,1979-01-13 00:00:00,"Medieval: Total War™ - Collection, Total War: PHARAOH, Total War™: ROME II - Emperor Edition, SHOGUN: Total War™ - Collection, A Total War Saga: TROY – ASSEMBLY KIT",True of next agent themselves contain.
Krazy Studios,1,Los Angeles,United States,2000-02-11 00:00:00,World of Golf,Interview simply fear across meet development low.
RunByCoffee,1,Tokyo,Japan,2023-02-20 00:00:00,Mythargia,
Maddnuss Games,1,Boston,United States,1997-02-02 00:00:00,Aerial Guardian,
Pillow Castle,0,Helsinki,Finland,1978-03-01 00:00:00,Superliminal,
CyberPunch Studios,1,Berlin,Germany,2011-11-08 00:00:00,The Fabled Woods,
Frictional Games,1,Austin,United States,1985-05-21 00:00:00,"Amnesia: The Dark Descent, Penumbra: Black Plague Gold Edition, SOMA, Penumbra Overture, Amnesia: The Bunker",
Digital Eclipse,0,Austin,United States,2018-05-29 00:00:00,"Wizardry: Proving Grounds of the Mad Overlord, Disney Classic Games: Aladdin and The Lion King, Digital Eclipse Arcade: Invasion of the Buffet Snatchers, Candy Creeps, Street Fighter 30th Anniversary Collection",Last on protect manager pick professional.
Breaking Walls,1,Helsinki,Finland,2021-05-03 00:00:00,AWAY: The Survival Series,
Machine Games,1,Toronto,Canada,1987-12-12 00:00:00,"Wolfenstein II: The New Colossus, Wolfenstein: The New Order, Wolfenstein: The Old Blood",
Zoetrope Interactive,1,Kyoto,Japan,2013-07-21 00:00:00,Conarium,
The Bearded Ladies,1,Seoul,South Korea,1985-09-19 00:00:00,"CORRUPTION 2029, Miasma Chronicles, Mutant Year Zero: Road to Eden",
ByteRockers' Games,1,Kyoto,Japan,2008-08-17 00:00:00,"BeeFense BeeMastered, VRog, BeeFense, Gelly Break Deluxe, Insurmountable",
Sky 9 Games,1,Warsaw,Poland,1988-10-17 00:00:00,A Knights Quest,
Locked Door Puzzle,0,Seoul,South Korea,1993-10-24 00:00:00,"Journal, Cosplay Maker, the white chamber, Kairo",
上海游七网络科技有限公司,1,Warsaw,Poland,2016-10-26 00:00:00,7D Game （VR for VIVE）,However medical long front letter cell so.
Orange_Juice,1,Seattle,United States,1988-08-09 00:00:00,"200% Mixed Juice!, Sora, Acceleration of SUGURI X-Edition HD, Xmas Shooting - Scramble!!, QP Shooting - Dangerous!!",
Magiko Gaming,1,London,United Kingdom,2013-02-13 00:00:00,Platformines,
Happy Hobgoblin,1,Montreal,Canada,1994-07-01 00:00:00,"Nyheim, Uphill Skiing, Icesolation",
Sankurusu,1,Kyoto,Japan,2019-10-24 00:00:00,The Castle,New foreign degree fine.
Digital Extremes,1,Berlin,Germany,1989-06-11 00:00:00,"Dark Sector, Warframe, The Darkness II",
G-MODE,1,Kyoto,Japan,1985-08-28 00:00:00,"G-MODEアーカイブス09 フライハイトクラウディア2, G-MODEアーカイブス19 マジカルドロップDX, G-MODEアーカイブス+ 探偵・癸生川凌介事件譚 Vol.10「永劫会事件」, G-MODEアーカイブス15 ちゅら島暮らし, G-MODEアーカイブス39 フライハイトクラウディア4 永遠の絆",
Real Maxwell,1,Boston,United States,1997-05-10 00:00:00,Haul Asteroid,
Paper Cult,1,Kyoto,Japan,2014-01-31 00:00:00,"Fat Mask, Bloodroots",
Stardock Entertainment,1,Los Angeles,United States,2011-12-02 00:00:00,"Galactic Civilizations® I: Ultimate Edition, The Corporate Machine, Sorcerer King: Rivals, Star Control®: Origins, Dead Man's Draw",
Synapse Games,1,Toronto,Canada,1985-05-22 00:00:00,Spellstone,
Haemimont Games,0,Los Angeles,United States,1979-08-02 00:00:00,"Grand Ages: Rome - Reign of Augustus, Rising Kingdoms, Grand Ages: Rome, Jagged Alliance 3, Tropico 3",
The Gentlebros,1,Berlin,Germany,1983-10-24 00:00:00,"Cat Quest II, Cat Quest",Between low country.
Global Empire Soft,1,Los Angeles,United States,1996-12-02 00:00:00,Man Alive,
FreezeNova.Games,1,Stockholm,Sweden,2014-01-18 00:00:00,"Police Stunt Cars, Masked Shooters, Fantasy Battles, Masked Shooters 2, Galactic Force",
Butterscotch Shenanigans,1,Warsaw,Poland,1988-06-03 00:00:00,"Levelhead: Platformer Maker, Levelhead, Crashlands",
Falco Software,1,Austin,United States,2017-07-23 00:00:00,"Turtle Lu, Zombie Murder, Police Patrol, Invention 3, Falco Engine",
Shifting Tides,1,Melbourne,Australia,1982-04-15 00:00:00,The Sojourn,
mc2games,1,Tokyo,Japan,1996-05-08 00:00:00,"Satama Puzzle, Palindrome Syndrome: Escape Room, Right and Down, Between Time: Escape Room, Tested on Humans: Escape Room",
"Ubisoft Annecy, Ubisoft Montpellier, Ubisoft Kiev",1,Helsinki,Finland,1981-07-20 00:00:00,Steep Standard Edition,
Baroque Decay,1,Seoul,South Korea,2016-03-03 00:00:00,"Yuppie Psycho: Executive Edition, The Count Lucanor",Successful would very away.
Camshaft Software Ltd,1,London,United Kingdom,1987-12-31 00:00:00,"Automation - The Car Company Tycoon Game, The Cyclist: Tactics",Cover any put determine light against rule.
Keith Burgun Games,1,Melbourne,Australia,2009-10-22 00:00:00,"Escape the Omnochronom!, Gem Wizards Tactics",
Bossa Studios,1,Kyoto,Japan,2013-04-19 00:00:00,"Emily: Displaced, Bossa Presents, Worlds Adrift Island Creator, Deep Dungeons of Doom, Surgeon Simulator VR: Meet The Medic",
-菂-,1,Seoul,South Korea,2011-08-19 00:00:00,Vitamins,
SpiffyBit,1,Melbourne,Australia,1984-08-18 00:00:00,Scrapnaut,
Sweet Games,1,Warsaw,Poland,2007-01-06 00:00:00,"One Night With Stalin, Megacraft Hentai Survival, Home Creator, Sexy Sniper, Sculpture Hentai Edition",
Architect Team,1,Seattle,United States,1995-09-30 00:00:00,TCM RACING 2,
LTZinc,1,Tokyo,Japan,1979-03-28 00:00:00,"Battle Cube, Jurassic Attack, Girls Love Toys, Viking Story, Cyberpunk Madness",Major personal health figure us.
Yak & Co,1,Singapore,Singapore,1980-06-29 00:00:00,"Down in Bermuda, Agent A: A puzzle in disguise",
NINEHECTARE,1,Paris,France,2004-03-06 00:00:00,Grey Haven,
Mass Media Games,1,Los Angeles,United States,2005-05-31 00:00:00,Carnival Games,How yes matter structure lose.
Cyril,1,Toronto,Canada,2003-05-01 00:00:00,Quick Trivia,
Spiderweb Software,1,Toronto,Canada,2001-12-01 00:00:00,"Avernum 2: Crystal Souls, Queen's Wish 2: The Tormentor, Avernum: Escape From the Pit, Geneforge 2, Avernum 6",Outside until ahead opportunity.
QAQ Studio,1,Seattle,United States,2012-08-05 00:00:00,"The Resurrection Of Amelia : Across two worlds, Moka Future",
Mighty Polygon,1,Vancouver,Canada,2020-08-03 00:00:00,Relicta,
The Game Band,1,Kyoto,Japan,1998-09-25 00:00:00,Where Cards Fall,
UnEpic Fran,0,Los Angeles,United States,2007-07-08 00:00:00,UnMetal,Very later son wind maintain much.
Feral Cat Den,1,Paris,France,1987-03-18 00:00:00,Genesis Noir,
Pavonis Interactive,1,Amsterdam,Netherlands,1998-03-27 00:00:00,Terra Invicta,
VisualArts/Key,1,Tokyo,Japan,2014-09-12 00:00:00,"planetarian ~the reverie of a little planet~, Stella of The End, Summer Pockets, Harmonia, Tomoyo After ~It's a Wonderful Life~ English Edition",
Artware Studio,1,Vancouver,Canada,1991-02-14 00:00:00,ArtPose Pro,
D4RKK1TE,1,Singapore,Singapore,2002-03-12 00:00:00,Lost Beyond,
Telltale,1,Kyoto,Japan,1982-04-10 00:00:00,"Strong Bad's Cool Game for Attractive People: Season 1, Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood, Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay, The Wolf Among Us, Hector: Badge of Carnage - Full Series",
Giant Sparrow,1,Melbourne,Australia,2017-04-24 00:00:00,"The Unfinished Swan, What Remains of Edith Finch",Camera director affect move.
Maint,0,Berlin,Germany,1975-04-02 00:00:00,Imaginarium,
Blue Byte,1,Los Angeles,United States,1976-03-04 00:00:00,"Anno 2205 - Standard Edition, Might & Magic Heroes Online, Anno 1800, Champions of Anteria™, Anno 2205™",
Pilgrim Adventures,1,Berlin,Germany,2016-05-10 00:00:00,"Space Pilgrim Academy: Reunion, Gladiator Trainer, Space Pilgrim Academy: Year 3, The Deed II, A Sceptic's Guide to Magic",Tonight everyone develop ask doctor.
Game Mechanic Studios,1,Paris,France,2017-10-24 00:00:00,"Deer Hunter: Reloaded, Wizards: Wand of Epicosity, No Way Out - A Dead Realm Tale",
Pixel Reef,1,Paris,France,1985-10-10 00:00:00,"Paper Beast, Paper Beast - Folded Edition",
Matthew Robinson,1,Amsterdam,Netherlands,2001-10-03 00:00:00,Glory Kingdom,
FunLabs,1,Helsinki,Finland,2010-03-03 00:00:00,Open Country,
Isto Inc.,1,Boston,United States,1983-02-15 00:00:00,Atrio: The Dark Wild,
Graphium Studio,1,London,United Kingdom,1977-06-07 00:00:00,"Jigsaw Pieces 2 - Shades of Mood, Lilly's Flower Shop, Puzzle Pieces 4: Farewell Dear Winter, Sweet Holiday Jigsaws: Halloween Night, House of Jigsaw: Masters of Art",
Roencia,1,Seoul,South Korea,1985-01-06 00:00:00,"Indie Graphics Bundle - Royalty Free Sprites, Crypterion, Space Galaxy - Graphics Pack, Omni Link, Character Creator - Graphics Pack",What relationship possible decade hard commercial.
Fluxscopic Ltd.,1,Toronto,Canada,1984-09-21 00:00:00,Mayhem in Single Valley,
Funcom,1,London,United Kingdom,2007-01-12 00:00:00,"Anarchy Online, Hide and Shriek, Age of Conan: Unchained, The Longest Journey, Dreamfall: The Longest Journey",
SimppleGames,1,Singapore,Singapore,2010-02-05 00:00:00,"Origin of Decay, Sim 4K VR MediaPlayer",
Grynsoft,1,London,United Kingdom,2001-10-18 00:00:00,"Roah, Wings of Vi",
"NUKKLEAR, Ashborne Games",1,Seattle,United States,1983-04-24 00:00:00,Comanche,
Redsquirrel Tribute Games,0,Stockholm,Sweden,1981-12-09 00:00:00,Let's Go!,
Blazing Stick,1,Montreal,Canada,2001-12-15 00:00:00,"Abyssal Fall, Cyber Hook",Draw agree attack compare amount may money.
Aldin Dynamics,0,Amsterdam,Netherlands,1985-10-02 00:00:00,"Waltz of the Wizard (Legacy demo), Waltz of the Wizard: Natural Magic",
Plausible Concept,1,Melbourne,Australia,2009-09-25 00:00:00,Bad North,
Entry Studios,1,Los Angeles,United States,2010-06-25 00:00:00,Frightened,
A9019,1,Toronto,Canada,1984-01-18 00:00:00,快乐小家 Home Sick,
Storm in a Teacup,1,Amsterdam,Netherlands,1988-08-24 00:00:00,"ENKI, N.E.R.O.: Nothing Ever Remains Obscure, Close To The Sun, Lantern, Close to the Sun",
Big Blue Bubble,1,Amsterdam,Netherlands,1986-10-08 00:00:00,"My Singing Monsters, Power Chord, My Singing Monsters Playground, Foregone, Little Friends: Puppy Island",
RedLynx,1,Boston,United States,2019-02-26 00:00:00,"Trials® Rising, Trials Fusion: Standard Edition",Political first gun provide other because Republican value.
Frima Studio,1,Warsaw,Poland,1989-03-21 00:00:00,"Chariot, Zombie Tycoon 2: Brainhov's Revenge, Disciples: Liberation, FATED: The Silent Oath, Talent Not Included",
Atomic Jelly,1,Helsinki,Finland,2013-04-17 00:00:00,"Space Mechanic Simulator, Project Remedium, 303 Squadron: Battle of Britain, Space Mechanic Simulator: Prologue, Truck Mechanic: Dangerous Paths - Prologue",Police five join small close either.
Breadcrumbs Interactive,1,Vancouver,Canada,1990-05-07 00:00:00,Yaga,
Autotelic Games LLC,1,Tokyo,Japan,1990-04-12 00:00:00,"Castle Clicker : Building Tycoon, Monster Clicker : Idle Halloween Strategy, Mafia Clicker: City Builder, Christmas Clicker: Idle Gift Builder, Easter Clicker: Idle Manager",Popular suffer Mrs third around paper number.
Nicolas Canova,1,Seattle,United States,2015-10-15 00:00:00,Spaceships,Third above indeed check.
Above and Beyond Technologies,0,Stockholm,Sweden,2017-04-07 00:00:00,Fragmented,Course statement follow seven.
Star Seeker Studio,1,Toronto,Canada,1999-12-08 00:00:00,"Anchor Club, Journey Into Darkness",Dog control raise hope where raise when.
Laughing Jackal LTD,1,Los Angeles,United States,2011-02-10 00:00:00,"Flame Over, OMG Zombies!, Cubixx HD",Year them build become old.
Beamdog,1,Warsaw,Poland,1991-09-16 00:00:00,"Icewind Dale: Enhanced Edition, MythForce, Planescape: Torment: Enhanced Edition, Neverwinter Nights: Enhanced Edition, Baldur's Gate II: Enhanced Edition",
Meteorbyte Studios,0,Warsaw,Poland,1995-01-12 00:00:00,Woodpunk,
Polyák Kristóf,1,Tokyo,Japan,2020-02-22 00:00:00,Weed Farmer Simulator,
Phoenix Labs,1,Los Angeles,United States,1986-10-09 00:00:00,"Dauntless, Fae Farm",
Techland,1,Vancouver,Canada,1993-12-14 00:00:00,"Xpand Rally Xtreme, Xpand Rally, Dying Light 2 Stay Human, Crime Cities, Call of Juarez: Gunslinger",
Cross-Product,1,San Francisco,United States,2013-03-17 00:00:00,Airscape - The Fall of Gravity,
Nikk F.,1,Vancouver,Canada,1978-03-08 00:00:00,SCP: Nukalypse,Wife left statement the.
"KOEI TECMO GAMES CO., LTD.",1,Tokyo,Japan,1993-05-30 00:00:00,"Winning Post, WARRIORS OROCHI 3 Ultimate Definitive Edition, NOBUNAGA'S AMBITION: Ranseiki with Power Up Kit, DYNASTY WARRIORS 9 Empires, Attack on Titan 2 - A.O.T.2",
AlvaStudio,0,Paris,France,2007-11-08 00:00:00,Bloodecay,
Chilla's Art,1,Seattle,United States,2004-09-14 00:00:00,"[Chilla's Art] Okaeri | おかえり, [Chilla's Art] Onryo | 怨霊, [Chilla's Art] Inunaki Tunnel | 犬鳴トンネル, [Chilla's Art] Parasocial | パラソーシャル, Sphaera",
MAGES. Inc.,1,Austin,United States,2004-11-23 00:00:00,"ROBOTICS;NOTES DaSH, YU-NO: A girl who chants love at the bound of this world, Punch Line, STEINS;GATE, CHAOS;CHILD",
Dapper Swine,1,Montreal,Canada,2014-05-16 00:00:00,Blasted Fortress,Computer relate run attorney.
La Poule Noire,1,San Francisco,United States,1978-04-04 00:00:00,Edgar - Bokbok in Boulzac,
Dry Cactus,1,Toronto,Canada,2013-11-11 00:00:00,"Poly Bridge 3, Poly Bridge, Poly Bridge 2",
Unexpected Studio,1,Melbourne,Australia,1979-03-21 00:00:00,As Far As The Eye,
Nickervision Studios,1,Los Angeles,United States,2020-06-24 15:00:00,Missile Command: Recharged,
Filip Budd,1,London,United Kingdom,1999-06-11 00:00:00,"RKR - Rush Kill Repeat, Too Much Water",
maitan69 (Matías Schmied),0,Montreal,Canada,2003-11-18 00:00:00,Evan's Remains,
Toge Productions,1,Singapore,Singapore,1993-06-27 00:00:00,"Coffee Talk, Infectonator 3: Apocalypse, Infectonator: Survivors, Coffee Talk Episode 2: Hibiscus & Butterfly, Necronator: Dead Wrong",
Samu,0,Seattle,United States,2017-08-25 00:00:00,"Orogenesis, Soulscape, Mothlight",
Gral Games,1,Tokyo,Japan,1990-12-08 00:00:00,Automon,Fine break significant.
Ubisoft Toronto,1,Berlin,Germany,1980-02-26 00:00:00,"Watch Dogs: Legion Standard Edition, Tom Clancy’s Splinter Cell Blacklist, Starlink: Battle for Atlas, Watch Dogs®: Legion, Far Cry 6 Standard Edition",Professional help central sit by.
Daisy Games,0,Stockholm,Sweden,2019-02-05 00:00:00,"SokoSolitaire, SokoChess, Hack Grid, SokoChess White, Sokobos",
SUPERHOT Team,1,Amsterdam,Netherlands,2012-05-17 00:00:00,"SUPERHOT: MIND CONTROL DELETE, SUPERHOT VR, SUPERHOT, SUPERHOT: Mind Control Delete",
SOEDESCO,1,Warsaw,Poland,1976-12-21 00:00:00,"Real Farm – Gold Edition, Truck Driver, Real Farm",
DMD Enterprise,1,Berlin,Germany,2000-05-14 00:00:00,Uprising44: The Silent Shadows,
FrameLineNetwork,1,Montreal,Canada,1988-11-12 00:00:00,"City Play, Bus Tycoon ND (Night and Day), The Terminal 2",
Cory Green,1,Helsinki,Finland,1995-10-11 00:00:00,Rebellion Again,
Snapshot Games,1,Kyoto,Japan,2019-10-28 00:00:00,Phoenix Point,Those two difference down miss one capital.
Jujubee S.A.,1,Montreal,Canada,1978-08-19 00:00:00,"Take Off - The Flight Simulator, Realpolitiks II, Deep Diving VR, KURSK, FLASHOUT 3",
Minimol Games,1,Toronto,Canada,2017-05-12 00:00:00,"Knight's Retreat, Zen Chess: Mate in Four, Zen Chess: Champion's Moves, Zen Chess: Mate in One, Unlock The King 2",Similar common personal out time check.
WEBZEN ONNET,1,Austin,United States,2019-01-21 00:00:00,Shot Online,
Ubisoft Paris,1,Seattle,United States,2003-08-21 00:00:00,"Tom Clancy's Ghost Recon® Breakpoint, Ghost Recon Breakpoint Standard Edition",
VEWO Interactive Inc.,1,Amsterdam,Netherlands,1981-05-18 00:00:00,"Nexomon: Extinction, Nexomon",Yard least exactly.
Tbjbu2 Originals,1,Amsterdam,Netherlands,1982-05-24 00:00:00,"Advancity, Ricko's Island",
Mad Vulture Games,1,Vancouver,Canada,1994-10-01 00:00:00,"Raging Titan, Wasps!",Structure key six what sing.
Efecto Studios,1,Berlin,Germany,2005-01-28 00:00:00,"Project Possession, Decoherence",
Creative Assembly,1,Paris,France,1985-04-18 00:00:00,"Alien: Isolation, Rise",Between agree fill good interview themselves.
Cyanide Studio,1,Tokyo,Japan,1994-11-16 00:00:00,"Front Page Sports Football, Pro Cycling Manager 2015, Call of Cthulhu®, Pro Cycling Manager 2018, Pro Cycling Manager 2020",
Urnique Studio,1,Helsinki,Finland,2018-10-28 00:00:00,"Timelie, Timelie - Game of the Year Edition",
ChillSwitch Games,1,Austin,United States,2007-01-01 00:00:00,Sono,
Mark hanham,1,Vancouver,Canada,2001-12-20 00:00:00,CHI NINJA,
GameTrek,1,San Francisco,United States,1980-11-04 00:00:00,"Secret Government, DJ Whip VR",Hospital machine role when pretty develop wonder.
New Games Order,1,Vancouver,Canada,1991-09-09 00:00:00,"The Uncertain: Light at the End, The Uncertain: Last Quiet Day",
